"author","r"
"op-ed",1
"VP",0.801062873411424
"POTUS",0.798661463304714
"SecPompeo",0.766970954754913
"SecretaryRoss",0.737343917142948
"StateDept",0.684386907299622
"SecNielsen",0.671606384646607
"SecAzar",0.626870143049
"BetsyDeVosED",0.548855803566214
"EPAAWheeler",0.493172167803678
"SecretaryCarson",0.489421837866202
"SecretarySonny",0.33565004022996
"stevenmnuchin1",0.190529989039667
"SecretaryAcosta",0.186096023196959
"USTradeRep",0.18408373106624
"USUN",0.179083069256322
"DeptofDefense",0.139829881103236
"CIA",0.113994780102827
"SBALinda",0.100977040334416
"nikkihaley",0.0452228901610871
"CommerceGov",-0.0270086398855688
"OMBPress",-0.0364754678887692
"mike_pence",-0.0563474897956766
"ENERGY",-0.0606396039549427
"HHSGov",-0.0794056185698599
"SecElaineChao",-0.0936370162988206
"SecretaryPerry",-0.0998643471644619
"usedgov",-0.161000543127734
"Cabinet",-0.186110332944321
"SecPriceMD",-0.210265491842989
"TheJusticeDept",-0.223151120100798
"DHSgov",-0.223710957543796
"SecShulkin",-0.260544667872075
"SecretaryZinke",-0.292254599369323
"USTreasury",-0.34138489571721
"SBAgov",-0.384094104286149
"Interior",-0.432636428661666
"USDA",-0.481015988315617
"EPA",-0.492955447008069
"HUDgov",-0.498903973732494
"USDOL",-0.511604064606908
"DeptVetAffairs",-0.604644182692666
"USDOT",-0.792344331560211
